Threshold,N_Samples,Percentage,XGB_Accuracy,LGB_Accuracy,XGB_F1,LGB_F1
2400m,1166,7.71%,0.8867924528301887,0.8850771869639794,0.88591125575616,0.8839368986426036
2800m,1350,8.93%,0.8785185185185185,0.8888888888888888,0.8768352875462703,0.8874686016550678
3200m,1037,6.86%,0.8833172613307618,0.8900675024108003,0.8815269122213342,0.8886970433920781
