Class,XGB_Precision,LGB_Precision,XGB_Recall,LGB_Recall,XGB_F1,LGB_F1
Spruce/Fir,0.8166342412451362,0.8212048192771084,0.7773148148148148,0.7888888888888889,0.7964895635673624,0.8047225501770956
Lodgepole,0.7920242301867744,0.8015037593984963,0.7263888888888889,0.7402777777777778,0.7577879739193432,0.7696750902527075
Ponderosa,0.8939393939393939,0.9033018867924528,0.8740740740740741,0.8865740740740741,0.8838951310861424,0.8948598130841121
Cottonwood,0.9495722647456101,0.9546690843155031,0.9763888888888889,0.975,0.9627938826751883,0.9647274393037105
Aspen,0.9049280418665504,0.9132540730955526,0.9606481481481481,0.9601851851851851,0.9319559847293959,0.9361317986910404
Douglas-fir,0.8889891696750902,0.8966756513926325,0.9120370370370371,0.924074074074074,0.9003656307129799,0.9101687186502508
Krummholz,0.9442213297634985,0.9510552312528064,0.9796296296296296,0.9805555555555555,0.9615996364462622,0.9655801230909505
